source,target,type
Deep Crimson Parma,standard round wooden shield,is
red paint,blood of warriors,symbolizes
Wooden shields,relatively high magic absorption,offer
Wooden shields,high magic absorption,offer
Dagger,citizens of the Undead Commune,used by
inner blade,fish hook-like barbs,lined with
weapon,ritualistic use,had
Bellowing Dragoncrest Ring,sorceries,greatly boosts
Bellowing Dragoncrest Ring,those who are deemed fit to undertake the journey of discovery in Vinheim,given to
Bellowing dragon,the true nature of the consummate sorcerer,symbolizes
Shields,weak-willed knights,were made to shame
those who carried these shields,merciless ridicule,were subject to
Shield Bash,Deep Porcine Shield,is a skill of
Shield Bash,Crystal Porcine Shield,is a skill of
Darkwraith,land swallowed by darkness,survivor of
Darkwraiths,first red orb invaders,were
Darkwraiths,originators of a unique sword technique,are
Raw Greatsword,one of the heaviest of its kind,is
Raw Greatsword,the true limits of human strength,tested
Stomp,one's weight to lunge forward with a low stance and increased poise,uses
Stomp,lunge forward with a low stance and increased poise,allows
Chaos Washing Pole,"a stunning, unusually long katana",is
The extreme length of this blade,immense range,provides
The extreme length of this blade,the blade extremely fragile,renders
Lightning Broadsword,broad blade,has design
Lightning Broadsword,crowds,is effective against
Lightning Broadsword,walls in narrow spaces,is prone to deflection from
Simpleton Sacred Wood Crest Shield,crest of a sacred tree,engraved with
Sacred Wood Crest Shield,lightning damage,reduces
Knights of the Blue,Simpleton Sacred Wood Crest Shield,use
Heavy Parrying Dagger,greatly curved guard,has
Heavy Parrying Dagger,parrying,is made for
Parry,deflecting an attack and following up with a critical hit,allows
Parry,repelling an attack to follow up with a critical hit,allows
Parry,which hand the shield is equipped in,is effective regardless of
Parry,repelling an attack at the right time to follow up with a critical hit,allows
Parry,while equipped in either hand,works
Parry,an attack,repels
Parry,Fire Crest Shield,is skill of
Black Knights,chaos demons,faced
Black Knights,black,were charred
Black Knights,Heavy Black Knight Sword,wield
Black Knights,foes larger than themselves,constantly faced
Black Knights,Black Knight Sword,wield
shields,fire,became resistant to
Shields such as these,weak-willed knights,were made to shame
grave wardens,Dark Warden Twinblades,wield
grave wardens,reincarnating corpses,put down
grave wardens,Deep Warden Twinblades,wield
weapons,profuse bleeding,cause
Snap Freeze,cloud of near-freezing mist,creates
Sulyvahn,spells,left behind
Sulyvahn,the painting,was born and raised inside
Hawkwood,Heavy Shield,owned
Hawkwood,deserter from the Undead Legion,was
Watchers' swordsmanship,use of shields,does not allow
Saint Klimt,Blessed Saint Bident,discarded
Saint Klimt,Simple Saint Bident,discarded
Blessed Saint Bident,a holy symbol,decorated by
Silvercat Ring,damage from falling,prevents
old cat,a human tongue,was said to speak
old cat,an old woman,had the voice of
Hornet Ring,Lord's Blade Ciaran,associated with
Ciaran,one of the Four Knights of Gwyn,was
Ciaran,the only woman to serve in Gwyn's Four Knights,was
giant blacksmith of the gods,lightning bolts,created
gods,crossbows,never used
pact between gods and humans,dragonless era,was upheld
Simple Uchigatana,fine craftsmanship of an eastern land,characterized by
finely-sharpened blade,bleeding,causes
finely-sharpened blade,as a result,breaks easily
finely-sharpened blade,easily,breaks
Dark Bastard Sword,heavy greatsword,is
Dark Bastard Sword,Stomp,has skill
Deep Soldier's Crossbow,common Lothric soldiers,is wielded by
Deep Soldier's Crossbow,a mix of miscellaneous metals,is constructed from
Medium shields,"a practical balance of damage absorption, stability and weight",provide
,Parry,is
,Sharpen,is
Lingering Dragoncrest Ring+1,length of spell effect,extends
Lingering Dragoncrest Ring+1,those who are deemed fit to undertake the journey of discovery in Vinheim,given to
lingering dragon,true nature of the consummate sorcerer,symbolizes
Gotthard,Dark Gotthard Twinswords,owned
Gotthard,the castle,fled
Gotthard,the knighthood,rose through
Fire Falchion,standard curved sword,is
falchion's slash attacks,armor and tough scale-covered hides,are compromised against
Spin Slash,Fire Falchion,is a skill of
Sunset Shield,Holy Knights of the Sunless Realms,belongs to
Sunset Shield,a brilliant flame crest,is engraved with
brilliant flame crest,those who both harbor and oppose the power of flame,symbolizes
Refined Cleric's Parma,clerics on pilgrimage,used by
Refined Cleric's Parma,a somewhat fragile blessing,enchanted with
blessing,spells to be deflected by parrying,allows
Simpleton Crest Shield,a crest,is engraved with
Crest Shield,magic damage,greatly reduces
Simple Saint Bident,holy symbol,decorated by
holy symbol,the sun,depicts
Poison Uchigatana,fine craftsmanship of an eastern land,characterized by
black knights,Greataxe,use
Greataxe,enemy poise,reduce
Warcry,attack,temporarily boosts
Heavy Black Knight Sword,chaos demons,designed to face
Champion of the Undead Match,Refined Valorheart,wielded
Refined Valorheart,broad sword and lion shield,consists of
page and lone wolf,Champion of the Undead Match,stayed at the side of
Dark Wood Grain Ring,rolling action,changes
Agents of subterfuge,dark gold wood grain,are fond of
dark gold wood grain,wearer's rolling action,alters
Poison Black Iron Greatshield,Knightslayer Tsorig,associated with
Black iron,high defense,offers
Black iron,fire,effective at warding off
Corvian Knights,Chaos Crow Talons,use
Corvian Knights,the painting,swore to protect
Corvian Knights,Sister Friede,infatuated with
Corvian Knights,Blood Crow Talons,use
Chaos Astora Sword,Astora,named after
Chaos Astora Sword,a reminder and heirloom of that era,is
Astora,a land replete with royal blood,was
Chaos Sunlight Shield,old Knight of Sunlight,was used by
Chaos Sunlight Shield,holy symbol depicting the sun,is decorated with
Pike,longest range of the non-projectile weapons,has
Pike,unwieldy in certain situations,is
Charge,extending distance with strong attack while charging,allows
Poison Mace,use in battle,is designed for
Poison Mace,a common weapon for clerics,is
Poison Mace,the guard of a shield,can break
Black Knight Sword,chaos demons,designed to face
Deep Rotten Ghru Sword,blunt-horned Ghrus,is choice weapon of
Deep Rotten Ghru Sword,rotten waste,is drenched in
blunt-horned Ghrus,acolytes of Farron Keep,are descendants of
Fire Carthus Shotel,bleeding,crafted to cause
Fire Carthus Shotel,Carthus swordsmen,wielded by
Fire Carthus Shotel,ample dexterity,requires
Raw Twin Dragon Greatshield,wood,is made from
Raw Twin Dragon Greatshield,a two-headed dragon,is decorated with
Greatshields,high stability and damage absorption,offer
Blood Club,savage leaping attacks,characterized by
Blood Club,most foes,is effective against
Parrying Dagger,greatly curved guard,has
Parrying Dagger,parrying,is made for
Standard Bolt,crossbows,used with
player,two types of bolts,can switch between
Great Hammer,Carim Knights,bestowed upon
Great Hammer,warding charm of Carim Temple,decorated by
Great Hammer,twisted rage of Apostle Morne,imbued with
Small daggers,power or reach,lack
Small daggers,quick consecutive hits,can deal
Quickstep,especially effective when locked on to target,is
knights of the Cathedral of the Deep,Lightning Great Mace,wield
Lightning Great Mace,inhuman strength,require
Lightning Great Mace,weaker shields,break
Dragonhead Shield,head of the descendant of an Archdragon,formed by
Ringed Knights,ranks who set out to slay the dragons,stood amongst
Ringed Knights,the gods,commanded by
Dark Morning Star,sharp spike on its pommel,has
sharp thorns,strike weapon to induce bleeding,allow
Perseverance,poise,boosts
The blade,mutilate flesh,was crafted to
The blade,induce bleeding,was crafted to
use normal attack,a foe's guard,to break
Wolf Ring+3,Abysswalker Artorias,associated with
Abysswalker Artorias,the Four Knights of Gwyn,was one of
Abysswalker Artorias,a greatsword,was unmatched with
Lightning Eagle Kite Shield,crest depicting a silver eagle,engraved with
Equipping this shield in the left hand,one to perform the Skill of the right hand weapon,allows
Equipping this shield in the left hand,perform the Skill of the right hand weapon,allows
Red Hilted Halberd,clerics,is associated with
Red Hilted Halberd,a spear,can be thrust like
Red Hilted Halberd,an axe,can be swept sideways like
Crystal Sniper Crossbow,Carim snipers,used by
Sniper Crossbow,dexterity,requires
Twisted dagger,wretched prisoners of Irithyll Dungeon,is cherished by
Feeble tailbone,Twisted dagger,is crafted into
Thrusting the dagger,strength of dragons,unleashes
Morne's Great Hammer,Carim Knights,bestowed upon
Morne's Great Hammer,warding charm of Carim Temple,decorated by
Morne's Great Hammer,twisted rage of Apostle Morne,imbued with
Soothing Sunlight,maidens of the Princess of Sunlight,is granted to
Soothing Sunlight,high HP for self and broad area,restores
Gwynevere,all,is cherished by
Crystal Great Machete,worker's tool in the Undead Settlement,is
Crystal Great Machete,slash attack,has
Old Wolf Curved Sword,old wolf,bears the soul of
Old Wolf Curved Sword,Watchdogs of Farron,stays with
Old Wolf Curved Sword,attack,boosts
Old Wolf Curved Sword,HP,restores
Watchdogs of Farron,slumber of fallen warriors,preside over
Frayed Blade,Darkeater Midir,symbolizes
Frayed Blade,a dragon weapon,is
Frayed Blade,black,is stained
Blood Red and White Shield,red and white design,features
Refined Warrior's Shield,double-bladed axe,bears
Refined Wooden Hammer,Undead Settlement,is a tool in
Refined Wooden Hammer,flesh and bone,intended to grind
Spin Bash,Bash foes with a large spinning motion,allows
Poison Buckler,a very small round metal shield,is
Poison Buckler,a large central protrusion,features
