id,label
Deep Crimson Parma,Entity
standard round wooden shield,Entity
red paint,Entity
blood of warriors,Entity
Wooden shields,Entity
relatively high magic absorption,Entity
Dagger,Entity
citizens of the Undead Commune,Entity
inner blade,Entity
fish hook-like barbs,Entity
weapon,Entity
ritualistic use,Entity
Bellowing Dragoncrest Ring,Entity
sorceries,Entity
those who are deemed fit to undertake the journey of discovery in Vinheim,Entity
Bellowing dragon,Entity
the true nature of the consummate sorcerer,Entity
Shields,Entity
weak-willed knights,Entity
those who carried these shields,Entity
merciless ridicule,Entity
Shield Bash,Entity
Deep Porcine Shield,Entity
Darkwraith,Entity
land swallowed by darkness,Entity
Darkwraiths,Entity
first red orb invaders,Entity
originators of a unique sword technique,Entity
Raw Greatsword,Entity
one of the heaviest of its kind,Entity
the true limits of human strength,Entity
Stomp,Entity
one's weight to lunge forward with a low stance and increased poise,Entity
Chaos Washing Pole,Entity
"a stunning, unusually long katana",Entity
The extreme length of this blade,Entity
immense range,Entity
the blade extremely fragile,Entity
Lightning Broadsword,Entity
broad blade,Entity
crowds,Entity
walls in narrow spaces,Entity
Simpleton Sacred Wood Crest Shield,Entity
crest of a sacred tree,Entity
Sacred Wood Crest Shield,Entity
lightning damage,Entity
Knights of the Blue,Entity
Heavy Parrying Dagger,Entity
greatly curved guard,Entity
parrying,Entity
Parry,Entity
deflecting an attack and following up with a critical hit,Entity
Black Knights,Entity
chaos demons,Entity
black,Entity
shields,Entity
fire,Entity
Shields such as these,Entity
Crystal Porcine Shield,Entity
grave wardens,Entity
Dark Warden Twinblades,Entity
reincarnating corpses,Entity
weapons,Entity
profuse bleeding,Entity
Snap Freeze,Entity
cloud of near-freezing mist,Entity
Sulyvahn,Entity
spells,Entity
the painting,Entity
Hawkwood,Entity
Heavy Shield,Entity
deserter from the Undead Legion,Entity
Watchers' swordsmanship,Entity
use of shields,Entity
Saint Klimt,Entity
Blessed Saint Bident,Entity
a holy symbol,Entity
Silvercat Ring,Entity
damage from falling,Entity
old cat,Entity
